Event,Tm,J1,J2,St,S,n,Q
J1,68.12339466176246,70.96723766696283,69.19344770583166,68.28458405573711,1,36,"J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2"
E,68.28458405573711,70.96723766696283,69.19344770583166,68.28458405573711,1,37,"J1, J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1"
E,70.22730175846003,70.96723766696283,69.19344770583166,70.22730175846003,1,36,"J2, J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1"
J2,70.41320666574549,70.96723766696283,75.43779750936143,72.98282446867906,1,35,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1"
J2,70.77178304231155,70.96723766696283,77.27161357054851,72.98282446867906,1,36,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2"
J2,71.68809795627378,70.96723766696283,74.27278822998564,72.98282446867906,1,37,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2"
J2,72.45370637096498,70.96723766696283,73.49273982670394,72.98282446867906,1,38,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2"
J1,72.51212394530442,73.17906000918605,73.49273982670394,72.98282446867906,1,39,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2"
J1,72.58769294667671,77.52071642129674,73.49273982670394,72.98282446867906,1,40,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1"
J1,72.68111100936785,72.8207458129154,73.49273982670394,72.98282446867906,1,41,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1"
E,72.98282446867906,72.8207458129154,73.49273982670394,72.98282446867906,1,42,"J1, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1"
J1,73.9250648729178,74.22680670499183,73.49273982670394,75.49964124607015,1,41,"J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1"
J1,74.23647884552388,75.14388388795147,73.49273982670394,75.49964124607015,1,42,"J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1"
J2,74.6697340633573,75.14388388795147,83.09488721945077,75.49964124607015,1,43,"J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J1, J2, J1, J2, J2, J1, J1, J2, J1, J2, J2, J1, J1, J1, J1, J1, J1, J1, J1, J2, J2, J2, J1, J2, J2, J2, J2, J1, J1, J1, J1, J1"
